temperature,windSpeed,precipitation,airPressure,cloudCover,timeOfDay,season,latitude,longitude,fishCaught
16.7,7.441976723122731,6.5265529478739115,1010.7,44.51,4,3,60.1,10.2,0
18.8,8.048796347936543,0.1122928235813958,1020.61,93.52,10,2,60.05,10.05,0
17.3,3.451412411215701,4.869721645803534,1012.26,4.89,14,3,60.1,10.2,0
14.6,5.853783180960134,2.0880758475594963,1020.04,77.83,2,3,60.1,10.2,0
13.5,4.972039124842775,7.222747198686809,990.39,75.75,13,3,60.05,10.05,0
13.9,8.518689048370259,6.730668828643985,996.21,51.38,21,3,60.1,10.2,0
-39.3,5.965839172255164,4.608007933492867,987.49,77.18,1,0,60.05,10.05,0
16.1,0.7867750703874876,3.6549614966450648,994.36,78.47,3,3,60.05,10.05,0
15.2,4.905048331649215,3.4338835897432207,981.84,48.5,1,3,60.05,10.05,0
17.9,1.5413538121764503,0.9090350117054036,1013.9,33.1,18,3,60.05,10.05,1
0.8,0.17460224855410544,7.022506436186623,982.37,56.06,2,1,60.05,10.05,0
14.3,6.070057767176895,8.813352142349139,1022.91,39.75,10,3,60.05,10.05,0
-6.9,2.7595633099411976,4.010482866711045,1018.88,65.12,20,0,60.05,10.05,0
1.2,6.414485900930917,2.628655492435871,1019.26,87.1,11,1,60.05,10.05,0
0.1,6.125919293698932,4.991749562421476,994.12,60.38,15,1,60.1,10.2,0
-2.0,5.744830482546735,1.725321415359109,989.4,79.42,14,0,60.05,10.05,0
6.4,8.97659246989194,2.0335814980425413,1014.9,88.56,2,1,60.05,10.05,0
-3.0,9.006564364148762,4.907906025359685,1000.16,40.07,17,0,60.05,10.05,0
-8.5,3.994560401031244,4.476427478750119,985.87,37.6,2,0,60.05,10.05,0
16.7,9.085903284136144,7.162730093939759,983.27,12.08,2,3,60.05,10.05,0
2.6,1.0917545251961402,2.688097369152833,991.91,46.09,14,1,60.05,10.05,0
3.7,4.8969393545865305,1.7918386287432142,1000.0,28.18,18,1,60.05,10.05,0
8.8,5.9260456253824145,9.683868847359776,1012.62,12.41,1,3,60.1,10.2,0
16.5,8.615703257737518,5.566378769525569,993.25,0.49,3,3,60.05,10.05,0
18.4,9.976463416465911,6.8721456256685425,1007.7,88.48,9,2,60.05,10.05,0
19.7,4.585590388637899,4.447765938747113,999.83,87.48,1,2,60.05,10.05,0
-0.9,3.052769746746975,0.8575790465908406,981.7,46.48,21,0,60.05,10.05,0
22.9,5.188790939150399,6.705304698207372,1006.76,40.46,9,2,60.05,10.05,0
-3.0,8.81634974742877,5.656556658807668,995.84,6.24,14,0,60.05,10.05,0
1.5,8.046181140740403,2.545675330045891,1020.27,58.57,5,1,60.05,10.05,0
8.8,8.240870141797648,7.453805158624597,980.69,51.03,2,3,60.05,10.05,0
5.2,5.266013267914117,9.177684295390863,981.18,59.8,19,1,60.05,10.05,0
2.7,0.6027808473275698,0.24207830850987544,990.49,32.89,1,1,60.05,10.05,0
-3.4,7.136435708599704,3.754184269910419,1017.55,41.61,6,0,60.05,10.05,0
-2.4,9.761257278156299,1.0169138840122482,1013.38,66.44,15,0,60.05,10.05,0
10.5,4.562752820415259,3.06501791890459,1013.12,77.75,18,3,60.05,10.05,0
13.4,0.5269760142988078,6.880978654455372,981.53,93.46,10,3,60.05,10.05,0
-11.7,3.1891899676563407,9.537302852566206,984.18,71.48,18,0,60.05,10.05,0
10.8,2.3809568806538906,1.6407656674076587,993.83,59.02,19,3,60.05,10.05,3
15.8,4.428070674857992,5.316511920030305,1018.03,80.96,13,3,60.05,10.05,0
-0.3,6.7787312155238,6.731134667675057,1001.4,26.46,14,0,60.05,10.05,0
0.1,8.484637874218885,3.642894105432628,991.52,59.2,4,1,60.05,10.05,0
17.4,0.4616432960134187,7.263179686296376,1009.64,80.62,3,3,60.05,10.05,0
-9.0,0.4660411357567473,4.57392817452156,996.66,85.43,10,0,60.05,10.05,0
-6.8,1.6820053959608294,0.9783336139079235,1026.37,21.39,12,0,60.05,10.05,0
9.9,9.77263722942803,7.586591239147681,1012.79,6.85,3,3,60.05,10.05,0
11.7,2.630514203183144,3.1874218973598256,996.24,64.17,6,3,60.1,10.2,0
21.7,8.618438110320692,4.853217899161977,1019.1,90.15,3,2,60.05,10.05,0
-2.8,9.874335525694962,3.1472580111299675,1028.88,76.02,10,0,60.05,10.05,0
-2.6,8.824333271309385,3.4191801552260213,1007.37,83.41,16,0,60.05,10.05,0
